Name,Quantity,Component
"U1",1," Arduino Uno R3"
"U3",1," IR sensor"
"U2",1," H-bridge Motor Driver"
"BAT1",1," 9V Battery"
"M1",1," DC Motor"
"D1",1,"Green LED"
"R1",1,"330 Ω Resistor"
